date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-09-15,2019,9,15,Wa,10.05,-2.48,4.44,4.44
2019-10-15,2019,10,15,Wa,10.05,-2.48,4.52,4.52
2020-02-15,2020,2,15,Wa,10.05,-2.48,3.85,3.85
2020-03-15,2020,3,15,Wa,10.05,-2.48,4.52,4.52
2020-04-15,2020,4,15,Wa,10.05,-2.48,11.97,11.97
2020-05-15,2020,5,15,Wa,10.05,-2.48,10.77,10.77
2020-07-15,2020,7,15,Wa,10.05,-2.48,3.85,3.85
2020-08-15,2020,8,15,Wa,10.05,-2.48,377.31,18.87
2020-08-15,2020,8,15,Wa,10.05,-2.48,4.54,4.54
2020-09-15,2020,9,15,Wa,10.05,-2.48,507.74,25.39
2020-09-15,2020,9,15,Wa,10.05,-2.48,4.67,4.67
2022-09-15,2022,9,15,Wa,10.05,-2.48,165.93,8.3
2022-10-15,2022,10,15,Wa,10.05,-2.48,165.93,8.3
2023-01-15,2023,1,15,Wa,10.05,-2.48,344.27,17.21
2023-02-15,2023,2,15,Wa,10.05,-2.48,278.32,13.92
2023-02-15,2023,2,15,Wa,10.05,-2.48,5.31,5.31
2023-03-15,2023,3,15,Wa,10.05,-2.48,344.27,17.21
2023-04-15,2023,4,15,Wa,10.05,-2.48,4.06,4.06
2023-05-15,2023,5,15,Wa,10.05,-2.48,4.06,4.06
2023-06-15,2023,6,15,Wa,10.05,-2.48,4.06,4.06
2023-07-15,2023,7,15,Wa,10.05,-2.48,344.27,17.21
2023-07-15,2023,7,15,Wa,10.05,-2.48,5.31,5.31
